Province,1971-1980,1980-1990,1990-2000,2000-2010,2010-2015
Aceh,2.93,2.72,1.46,2.36,2.03
Sumatera Utara,2.6,2.06,1.32,1.1,1.36
Sumatera Barat,2.21,1.62,0.63,1.34,1.33
Riau,3.11,4.3,4.35,3.58,2.62
Jambi,4.07,3.4,1.84,2.56,1.83
Sumatera Selatan,3.32,3.15,2.39,1.85,1.48
Bengkulu,4.39,4.38,2.97,1.67,1.71
Lampung,5.77,2.67,1.17,1.24,1.24
Kepulauan Bangka Belitung,-,-,0.97,3.14,2.22
Kepulauan Riau,-,-,-,4.95,3.11
DKI Jakarta,3.93,2.42,0.17,1.41,1.09
Jawa Barat,2.66,2.57,2.03,1.9,1.56
Jawa Tengah,1.64,1.18,0.94,0.37,0.81
DI Yogyakarta,1.1,0.57,0.72,1.04,1.19
Jawa Timur,1.49,1.08,0.7,0.76,0.67
Banten,-,-,3.21,2.78,2.27
Bali,1.69,1.18,1.31,2.15,1.23
Nusa Tenggara Barat,2.36,2.15,1.82,1.17,1.38
Nusa Tenggara Timur,1.95,1.79,1.64,2.07,1.7
Kalimantan Barat,2.31,2.65,2.29,0.91,1.66
Kalimantan Tengah,3.43,3.88,2.99,1.79,2.36
Kalimantan Selatan,2.16,2.32,1.45,1.99,1.84
Kalimantan Timur,5.73,4.42,2.81,3.81,2.64
Sulawesi Utara,2.31,1.6,1.33,1.28,1.15
Sulawesi Tengah,3.86,2.87,2.57,1.95,1.69
Sulawesi Selatan,1.74,1.42,1.49,1.17,1.12
Sulawesi Tenggara,3.09,3.66,3.15,2.08,2.18
Gorontalo,-,-,1.59,2.26,1.64
Sulawesi Barat,-,-,-,2.68,1.94
Maluku,2.88,2.79,0.08,2.8,1.81
Maluku Utara,-,-,0.48,2.47,2.18
Papua Barat,-,-,-,3.71,2.63
Papua,2.67,3.46,3.22,5.39,1.97
